2013-09-0050-youth-of-the-noble-birthright-what-will-you-choose,720p,http://media2.ldscdn.org/assets/ces-devotionals/2013-ces-devotionals-for-young-adults/2013-09-0050-youth-of-the-noble-birthright-what-will-you-choose-720p-ase.mp4,869.7 MB
2013-09-0050-youth-of-the-noble-birthright-what-will-you-choose,1080p,http://media2.ldscdn.org/assets/ces-devotionals/2013-ces-devotionals-for-young-adults/2013-09-0050-youth-of-the-noble-birthright-what-will-you-choose-1080p-ase.mp4,2.0 GB
2013-05-0040-our-prophet-thomas-s-monson,360p,http://media2.ldscdn.org/assets/ces-devotionals/2013-ces-devotionals-for-young-adults/2013-05-0040-our-prophet-thomas-s-monson-360p-ase.mp4,372.9 MB
2013-05-0040-our-prophet-thomas-s-monson,720p,http://media2.ldscdn.org/assets/ces-devotionals/2013-ces-devotionals-for-young-adults/2013-05-0040-our-prophet-thomas-s-monson-720p-ase.mp4,914.2 MB
2013-05-0040-our-prophet-thomas-s-monson,1080p,http://media2.ldscdn.org/assets/ces-devotionals/2013-ces-devotionals-for-young-adults/2013-05-0040-our-prophet-thomas-s-monson-1080p-ase.mp4,2.0 GB
2013-03-0020-that-we-might-not--shrink-dc-1918-ase,360p,http://media2.ldscdn.org/assets/ces-devotionals/2013-ces-devotionals-for-young-adults/2013-03-0020-that-we-might-not--shrink-doctrine-and-covenants-1918-360p-ase.mp4,376 MB
2013-03-0020-that-we-might-not--shrink-dc-1918-ase,720p,http://media2.ldscdn.org/assets/ces-devotionals/2013-ces-devotionals-for-young-adults/2013-03-0020-that-we-might-not--shrink-doctrine-and-covenants-1918-720p-ase.mp4,0.99 GB
2013-03-0020-that-we-might-not--shrink-dc-1918-ase,1080p,http://media2.ldscdn.org/assets/ces-devotionals/2013-ces-devotionals-for-young-adults/2013-03-0020-that-we-might-not--shrink-doctrine-and-covenants-1918-1080p-ase.mp4,3.23 GB
2013-01-0010-what-is-truth,360p,http://media2.ldscdn.org/assets/ces-devotionals/2013-ces-devotionals-for-young-adults/2013-01-0010-what-is-truth-360p-ase.mp4,217 MB
2013-01-0010-what-is-truth,720p,http://media2.ldscdn.org/assets/ces-devotionals/2013-ces-devotionals-for-young-adults/2013-01-0010-what-is-truth-720p-ase.mp4,968.9 MB
2012-03-0020-what-ere-thou-art-act-well-thy-part,360p,http://media2.ldscdn.org/assets/ces-devotionals/2012-ces-devotionals-for-young-adults/2012-03-0020-what-ere-thou-art-act-well-thy-part-360p-ase.mp4,339.9 MB
